Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-April-2021,483.80,487.35,474.40,475.70,481.718911565665636212,523394,7325,252128788.00,61254,11.70,12.95,-8.10
22-April-2021,470.00,494.50,470.00,486.60,484.590321931589537223,1640100,17534,794776587.00,357144,21.78,24.50,16.60
20-April-2021,478.85,478.85,467.05,469.95,471.137268024428898321,702283,8009,330871694.00,83716,11.92,11.80,-8.90
19-April-2021,463.20,478.00,460.80,472.65,470.430404508742221890,2020253,32230,950388436.00,506995,25.10,17.20,9.45
16-April-2021,442.00,473.50,437.00,469.25,464.341322169361607402,5049338,79418,2344616283.00,1625952,32.20,36.50,27.25
15-April-2021,420.40,434.00,415.00,431.00,428.083653904624422641,756462,10311,323829017.00,93370,12.34,19.00,10.60
13-April-2021,430.50,437.35,412.75,418.65,423.305687101724923547,882242,8515,373458056.00,252320,28.60,24.60,-11.85
12-April-2021,450.00,454.55,429.80,432.50,437.116811399985533013,525334,8140,229632323.00,117096,22.29,24.75,-17.50
9-April-2021,443.10,452.00,439.90,449.45,446.480780224158539331,346362,5246,154643976.00,107886,31.15,12.10,6.35
8-April-2021,442.50,445.50,440.20,441.90,441.019720593327781259,1397676,14500,616402679.00,957876,68.53,5.30,-0.60
7-April-2021,425.90,440.00,423.05,438.00,431.940135930958087954,319574,5066,138036837.00,82460,25.80,16.95,12.10
6-April-2021,428.00,429.00,422.25,426.95,426.074643308650893985,442960,8786,188734024.00,165171,37.29,6.75,-1.05
5-April-2021,418.80,427.70,416.40,425.50,423.449888352252363131,739379,8343,313089955.00,102437,13.85,11.30,6.70
1-April-2021,419.10,422.75,414.50,416.20,417.979356480431801322,454283,7310,189880916.00,101401,22.32,8.25,-2.90
31-March-2021,418.00,419.40,413.30,414.20,415.656762492764808026,171039,2790,71093517.00,35887,20.98,6.10,-3.80
30-March-2021,405.00,419.90,405.00,417.90,413.094173474291206150,332960,7134,137543836.00,70532,21.18,14.90,12.90
26-March-2021,404.30,407.55,400.80,403.85,404.146171563772915275,446318,8517,180377711.00,85163,19.08,6.75,-0.45
